[[(2.0075892434439346, 2.104213948679329), (0.007454346590403137, 2.1038077136586733), (0.0010269039311647165, 1.804469854173282), (2.006920996794566, 1.808473645477598)], [(2.0082366062365162, 0.30097821889772913), (0.0008125177493239744, 0.3003534729486221), (0.00299654933193243, 0.00430731065040721), (2.0019490977612384, 0.0056249835725773)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
8.5 (2.16033935546875,1.0687892436981201) (0.10388243198394775,0.011588336899876595) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11109312916501628 (3.2650794982910156,0.046818770468235016) (0.019256487488746643,-0.006686470936983824) 0.12527471780776978 0.2986724341545399 (3.3181357383728027,0.5398257970809937) (0.11338213086128235,-0.034681450575590134) 0.1586906760931015 -0.20271423525056328 (3.8691866397857666,1.6045801639556885) (0.06759027391672134,0.017469622194767) 0.18473780155181885 -0.17793033935742988 (4.011253356933594,2.10135817527771) (0.0029519284144043922,0.0008152798982337117) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
8.75 (2.186335563659668,1.0717103481292725) (0.10398460179567337,0.011684635654091835) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11189950220431491 (3.2686901092529297,0.045565057545900345) (0.014442339539527893,-0.005014854948967695) 0.12527471780776978 0.2986724341545399 (3.3464813232421875,0.5311554074287415) (0.11338212341070175,-0.034681446850299835) 0.1586906760931015 -0.20271423525056328 (3.88185977935791,1.6078556776046753) (0.0506925992667675,0.013102271594107151) 0.18473780155181885 -0.17793033935742988 (4.011806964874268,2.101511001586914) (0.0022137844935059547,0.0006114320131018758) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
9.0 (2.212031364440918,1.0745941400527954) (0.10278303921222687,0.011534984223544598) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11175890582170755 (3.2713980674743652,0.04462477192282677) (0.01083172857761383,-0.0037611417938023806) 0.12527471780776978 0.2986724341545399 (3.3748269081115723,0.5224850177764893) (0.11338213831186295,-0.034681446850299835) 0.1586906760931015 -0.20271423525056328 (3.891364574432373,1.6103123426437378) (0.03801945969462395,0.009826757945120335) 0.18473780155181885 -0.17793033935742988 (4.012221813201904,2.101625680923462) (0.0016601766692474484,0.0004586057330016047) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
9.25 (2.237327814102173,1.0774296522140503) (0.10118564963340759,0.011342208832502365) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11162708767780699 (3.2734289169311523,0.04391955956816673) (0.008123770356178284,-0.0028208561707288027) 0.12527471780776978 0.2986724341545399 (3.403172492980957,0.5138146877288818) (0.11338212341070175,-0.03468143939971924) 0.1586906760931015 -0.20271423525056328 (3.8984932899475098,1.6121548414230347) (0.028514664620161057,0.007370092906057835) 0.18473780155181885 -0.17793033935742988 (4.012533187866211,2.1017117500305176) (0.0012453283416107297,0.0003439263964537531) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
9.5 (2.262042284011841,1.0802254676818848) (0.09885745495557785,0.011183297261595726) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11264658431625438 (3.2749521732330322,0.04339065030217171) (0.006092920899391174,-0.0021156438160687685) 0.12527471780776978 0.2986724341545399 (3.431518077850342,0.5051442980766296) (0.11338212341070175,-0.03468145430088043) 0.1586906760931015 -0.20271423525056328 (3.9038398265838623,1.6135367155075073) (0.021385949105024338,0.00552759412676096) 0.18473780155181885 -0.17793033935742988 (4.0127668380737305,2.101776123046875) (0.0009339536773040891,0.00025785728939808905) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
9.75 (2.2866201400756836,1.083027720451355) (0.09831144660711288,0.011208852753043175) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1135235014283869 (3.276094675064087,0.04299396649003029) (0.0045696645975112915,-0.0015867345500737429) 0.12527471780776978 0.2986724341545399 (3.4598636627197266,0.49647393822669983) (0.11338211596012115,-0.034681446850299835) 0.1586906760931015 -0.20271423525056328 (3.9078497886657715,1.6145731210708618) (0.0160394124686718,0.004145720042288303) 0.18473780155181885 -0.17793033935742988 (4.012941837310791,2.1018245220184326) (0.0007003034697845578,0.00019348427304066718) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
10.0 (2.3108479976654053,1.0857919454574585) (0.09691186249256134,0.01105690747499466) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11360118610617632 (3.276951551437378,0.042696453630924225) (0.003427162766456604,-0.0011900507379323244) 0.12527471780776978 0.2986724341545399 (3.4882092475891113,0.48780357837677) (0.11338212341070175,-0.03468145802617073) 0.1586906760931015 -0.20271423525056328 (3.9108572006225586,1.6153504848480225) (0.012029449455440044,0.0031093142461031675) 0.18473780155181885 -0.17793033935742988 (4.013072967529297,2.101860761642456) (0.0005253042327240109,0.00014508530148305) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
10.25 (2.3348376750946045,1.0885283946990967) (0.09595872461795807,0.010945843532681465) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1135773386837204 (3.2775940895080566,0.04247331991791725) (0.0025702863931655884,-0.0008925379370339215) 0.12527471780776978 0.2986724341545399 (3.516554832458496,0.4791332185268402) (0.11338213086128235,-0.034681469202041626) 0.1586906760931015 -0.20271423525056328 (3.9131126403808594,1.6159334182739258) (0.009022037498652935,0.002331950468942523) 0.18473780155181885 -0.17793033935742988 (4.013171672821045,2.1018879413604736) (0.00039417401421815157,0.00010884567745961249) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
10.5 (2.358753204345703,1.0912569761276245) (0.0956624299287796,0.010914495214819908) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11360261536367326 (3.278075933456421,0.04230596870183945) (0.0019277483224868774,-0.0006694042240269482) 0.12527471780776978 0.2986724341545399 (3.544900417327881,0.4704628586769104) (0.11338212341070175,-0.03468148037791252) 0.1586906760931015 -0.20271423525056328 (3.914804220199585,1.616370677947998) (0.006766598206013441,0.0017490170430392027) 0.18473780155181885 -0.17793033935742988 (4.013245582580566,2.1019084453582764) (0.0002954687224701047,8.166595944203436e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
10.75 (2.382622003555298,1.0939809083938599) (0.09547512233257294,0.010895881801843643) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11363112323719506 (3.278437376022339,0.04218045622110367) (0.0014459043741226196,-0.0005020530079491436) 0.12527471780776978 0.2986724341545399 (3.5732460021972656,0.4617924988269806) (0.11338210850954056,-0.03468149155378342) 0.1586906760931015 -0.20271423525056328 (3.9160730838775635,1.6166986227035522) (0.005075018387287855,0.001311757368966937) 0.18473780155181885 -0.17793033935742988 (4.013300895690918,2.101923704147339) (0.00022155896294862032,6.116196163929999e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
11.0 (2.406437397003174,1.0966989994049072) (0.09526167809963226,0.01087226066738367) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11363876764973155 (3.2787084579467773,0.042086321860551834) (0.0010844618082046509,-0.0003765404981095344) 0.12527471780776978 0.2986724341545399 (3.6015915870666504,0.4531221091747284) (0.11338210850954056,-0.03468151390552521) 0.1586906760931015 -0.20271423525056328 (3.917024612426758,1.6169445514678955) (0.0038061547093093395,0.0009838126134127378) 0.18473780155181885 -0.17793033935742988 (4.013342380523682,2.1019351482391357) (0.00016624585259705782,4.590316893882118e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
11.25 (2.430213689804077,1.0994127988815308) (0.09510555863380432,0.010855326429009438) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1136479404695492 (3.278911828994751,0.042015720158815384) (0.0008133799419738352,-0.0002824061375577003) 0.12527471780776978 0.2986724341545399 (3.629937171936035,0.4444517195224762) (0.11338210105895996,-0.034681517630815506) 0.1586906760931015 -0.20271423525056328 (3.917738199234009,1.6171289682388306) (0.0028546261601150036,0.0007378838490694761) 0.18473780155181885 -0.17793033935742988 (4.013373374938965,2.1019437313079834) (0.00012476101983338594,3.445907714194618e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
11.5 (2.453972101211548,1.1021244525909424) (0.09503360837697983,0.010846682824194431) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1136434612777324 (3.279064416885376,0.041962768882513046) (0.0006100088940002024,-0.0002118044503731653) 0.12527471780776978 0.2986724341545399 (3.6543874740600586,0.43697282671928406) (0.09780114889144897,-0.029915597289800644) 0.1586906760931015 -0.20271423525056328 (3.918273448944092,1.617267370223999) (0.002141039352864027,0.0005534670781344175) 0.18473780155181885 -0.17793033935742988 (4.013396739959717,2.101950168609619) (9.376660455018282e-05,2.5876010113279335e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
11.75 (2.477705240249634,1.1048327684402466) (0.09493225067853928,0.010833065025508404) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1136221516967451 (3.2791788578033447,0.04192305728793144) (0.0004574210033752024,-0.00015885317407082766) 0.12527471780776978 0.2986724341545399 (3.672725200653076,0.43136364221572876) (0.07335084676742554,-0.022436704486608505) 0.1586906760931015 -0.20271423525056328 (3.918674945831299,1.6173710823059082) (0.0016057896427810192,0.0004150650929659605) 0.18473780155181885 -0.17793033935742988 (4.01341438293457,2.101954936981201) (7.04015837982297e-05,1.9438708477537148e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
12.0 (2.5013468265533447,1.1075294017791748) (0.09456615149974823,0.01078633964061737) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11357049587640801 (3.2792646884918213,0.04189327359199524) (0.0003429800854064524,-0.00011914157948922366) 0.12527471780776978 0.2986724341545399 (3.68647837638855,0.4271567761898041) (0.05501312017440796,-0.016827519983053207) 0.1586906760931015 -0.20271423525056328 (3.918976068496704,1.6174489259719849) (0.001204292755573988,0.0003113530110567808) 0.18473780155181885 -0.17793033935742988 (4.013427734375,2.1019585132598877) (5.275860530673526e-05,1.4670335986011196e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
12.25 (2.524946689605713,1.1102206707000732) (0.09439930319786072,0.010765157639980316) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11354800160664309 (3.2793290615081787,0.04187093302607536) (0.0002571493969298899,-8.935788355302066e-05) 0.12527471780776978 0.2986724341545399 (3.6967933177948,0.4240016043186188) (0.041259944438934326,-0.0126206548884511) 0.1586906760931015 -0.20271423525056328 (3.9192018508911133,1.6175073385238647) (0.0009031700319610536,0.00023350934498012066) 0.18473780155181885 -0.17793033935742988 (4.013437747955322,2.101961374282837) (3.940716487704776e-05,1.1094057299487758e-05) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
12.5 (2.548468828201294,1.1129027605056763) (0.0940881222486496,0.010728170163929462) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11353225473741536 (3.2793772220611572,0.04185418039560318) (0.00019277638057246804,-6.701731763314456e-05) 0.12527471780776978 0.2986724341545399 (3.7045295238494873,0.421635240316391) (0.030945003032684326,-0.009465483017265797) 0.1586906760931015 -0.20271423525056328 (3.9193711280822754,1.6175510883331299) (0.0006773876375518739,0.00017509679310023785) 0.18473780155181885 -0.17793033935742988 (4.013444900512695,2.101963520050049) (2.939358637377154e-05,8.233034350269008e-06) 0.19806556403636932 0.23145983981192386 (2.006920996794566,1.808473645477598) (0,0) 1e-07 0.03619863419290442 (2.0082366062365162,0.30097821889772913) (0,0) 1e-07 0.03619863419290442 
