[[(2.0064744719410026, 2.101604497819959), (0.00038509604584085035, 2.1064656350411526), (0.0005446423300984971, 1.8079492627411193), (2.007846911196081, 1.8001999580859622)], [(2.0021420776889833, 0.30221852059434323), (0.004522861271521401, 0.3030903707812568), (0.0009300800115368768, 0.009711411586767048), (2.000973009133666, 0.00019773213988619754)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
8.5 (1.8834373950958252,1.4379692077636719) (0.08079981803894043,0.0586748942732811) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786386599327 (3.3299150466918945,0.0358889065682888) (0.0012378349201753736,-0.0005432996549643576) 0.15635640919208527 0.35764088938443117 (3.8506174087524414,0.010255883447825909) (0.0036785732954740524,-0.0021347738802433014) 0.14137858152389526 -0.10781594814733148 (3.418020725250244,1.8651732206344604) (0.0041909352876245975,0.0022899038158357143) 0.1963244080543518 0.027546156738505467 (4.096866130828857,2.1810178756713867) (-0.004939366597682238,-0.0009568961686454713) 0.16506817936897278 -0.36652612026507486 (1.8848376408417415,1.800674842375274) (0,0) 1e-07 0.1458798393392846 (1.8829417255090914,0.3022705449483713) (0,0) 1e-07 0.1458798393392846 
8.75 (1.9037084579467773,1.452689528465271) (0.08108419179916382,0.05888142064213753) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.628078807821703 (3.3301470279693604,0.03578703850507736) (0.0009283675462938845,-0.00040747554157860577) 0.15635640919208527 0.35764088938443117 (3.8513071537017822,0.009855613112449646) (0.002758992835879326,-0.001601080410182476) 0.14137858152389526 -0.10781594814733148 (3.418806552886963,1.8656026124954224) (0.0031430853996425867,0.0017174608074128628) 0.1963244080543518 0.027546156738505467 (4.095940113067627,2.1808383464813232) (-0.0037043585907667875,-0.0007177623338066041) 0.16506817936897278 -0.36652612026507486 (1.9050515737903846,1.800596805336644) (0,0) 1e-07 0.1458798393392846 (1.903206359894982,0.3022617005574424) (0,0) 1e-07 0.1458798393392846 
9.0 (1.9239875078201294,1.467415690422058) (0.08111608028411865,0.05890459567308426) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280789560811687 (3.3303210735321045,0.03571063652634621) (0.0006963862688280642,-0.00030560747836716473) 0.15635640919208527 0.35764088938443117 (3.8518245220184326,0.009555410593748093) (0.0020692478865385056,-0.0012008100748062134) 0.14137858152389526 -0.10781594814733148 (3.419395923614502,1.865924596786499) (0.0023572577629238367,0.0012880689464509487) 0.1963244080543518 0.027546156738505467 (4.095245361328125,2.18070387840271) (-0.0027783408295363188,-0.0005382331437431276) 0.16506817936897278 -0.36652612026507486 (1.9252734710922295,1.8005187375511749) (0,0) 1e-07 0.1458798393392846 (1.9234789787523672,0.3022528526817338) (0,0) 1e-07 0.1458798393392846 
9.25 (1.9442462921142578,1.4821271896362305) (0.081035315990448,0.05884593725204468) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280788810652673 (3.330451726913452,0.035653334110975266) (0.0005223407060839236,-0.00022920549963600934) 0.15635640919208527 0.35764088938443117 (3.852212429046631,0.009330258704721928) (0.001551879569888115,-0.0009006074978969991) 0.14137858152389526 -0.10781594814733148 (3.4198379516601562,1.866166114807129) (0.0017678870353847742,0.0009660846553742886) 0.1963244080543518 0.027546156738505467 (4.094724655151367,2.18060302734375) (-0.0020835890900343657,-0.00040376506512984633) 0.16506817936897278 -0.36652612026507486 (1.9454751597223914,1.800440747782433) (0,0) 1e-07 0.1458798393392846 (1.943731338433863,0.30224401364803377) (0,0) 1e-07 0.1458798393392846 
9.5 (1.96338951587677,1.4960285425186157) (0.07657309621572495,0.05560556799173355) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280787922142198 (3.330549716949463,0.03561035916209221) (0.00039168732473626733,-0.00017190308426506817) 0.15635640919208527 0.35764088938443117 (3.852503538131714,0.009161395020782948) (0.0011639725416898727,-0.0006754556088708341) 0.14137858152389526 -0.10781594814733148 (3.4201693534851074,1.866347312927246) (0.0013258589897304773,0.0007245666347444057) 0.1963244080543518 0.027546156738505467 (4.094334125518799,2.1805272102355957) (-0.0015628829132765532,-0.0003029140061698854) 0.16506817936897278 -0.36652612026507486 (1.964564432016302,1.8003670525602709) (0,0) 1e-07 0.1458798393392846 (1.9628684913801906,0.3022356613403286) (0,0) 1e-07 0.1458798393392846 
9.75 (1.9823707342147827,1.5098122358322144) (0.07592491805553436,0.055134862661361694) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786739889354 (3.330623149871826,0.035578127950429916) (0.00029369728872552514,-0.00012892813538201153) 0.15635640919208527 0.35764088938443117 (3.852721691131592,0.009034747257828712) (0.0008728634566068649,-0.000506591924931854) 0.14137858152389526 -0.10781594814733148 (3.4204180240631104,1.866483211517334) (0.0009944571647793055,0.0005433685146272182) 0.1963244080543518 0.027546156738505467 (4.094040870666504,2.1804704666137695) (-0.0011723532807081938,-0.00022709691256750375) 0.16506817936897278 -0.36652612026507486 (1.983492155524882,1.800293981006389) (0,0) 1e-07 0.1458798393392846 (1.9818436902847556,0.30222737971659586) (0,0) 1e-07 0.1458798393392846 
10.0 (2.001214027404785,1.5234957933425903) (0.07537300884723663,0.054734110832214355) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280789472715677 (3.3306782245635986,0.0355539545416832) (0.00022026438091415912,-9.669692371971905e-05) 0.15635640919208527 0.35764088938443117 (3.8528854846954346,0.00893976166844368) (0.0006547104567289352,-0.00037994416197761893) 0.14137858152389526 -0.10781594814733148 (3.4206044673919678,1.8665851354599) (0.0007457865867763758,0.0004074699536431581) 0.1963244080543518 0.027546156738505467 (4.093821048736572,2.1804277896881104) (-0.0008790984284132719,-0.00017035329074133188) 0.16506817936897278 -0.36652612026507486 (2.0022823425152496,1.8002214404200636) (0,0) 1e-07 0.1458798393392846 (2.0006810077713086,0.3022191582704681) (0,0) 1e-07 0.1458798393392846 
10.25 (2.0201122760772705,1.5372192859649658) (0.07559343427419662,0.05489417165517807) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280788870662388 (3.330719470977783,0.03553582355380058) (0.00016518968914169818,-7.252351497299969e-05) 0.15635640919208527 0.35764088938443117 (3.853008270263672,0.008868522010743618) (0.0004909168928861618,-0.0002849585725925863) 0.14137858152389526 -0.10781594814733148 (3.4207444190979004,1.866661548614502) (0.0005593432579189539,0.0003055460110772401) 0.1963244080543518 0.027546156738505467 (4.093656063079834,2.1803958415985107) (-0.0006592764984816313,-0.0001276763650821522) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
10.5 (2.0394415855407715,1.5512558221817017) (0.07731738686561584,0.056146033108234406) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786133944757 (3.3307504653930664,0.0355222262442112) (0.00012394327495712787,-5.439253072836436e-05) 0.15635640919208527 0.35764088938443117 (3.853100299835205,0.008815092034637928) (0.00036813129554502666,-0.00021371891489252448) 0.14137858152389526 -0.10781594814733148 (3.420849323272705,1.8667188882827759) (0.0004193915519863367,0.00022913285647518933) 0.1963244080543518 0.027546156738505467 (4.093532562255859,2.1803719997406006) (-0.00049429084174335,-9.57282682065852e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
10.75 (2.059784412384033,1.5660282373428345) (0.081371009349823,0.059089623391628265) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280781853089652 (3.3307735919952393,0.03551202639937401) (9.294885967392474e-05,-4.079522113897838e-05) 0.15635640919208527 0.35764088938443117 (3.8531694412231445,0.008775020018219948) (0.00027610172401182353,-0.00016028893878683448) 0.14137858152389526 -0.10781594814733148 (3.4209280014038086,1.8667618036270142) (0.0003144873771816492,0.00017179318820126355) 0.1963244080543518 0.027546156738505467 (4.093440055847168,2.180354118347168) (-0.0003707899886649102,-7.188641029642895e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
11.0 (2.080332040786743,1.5809494256973267) (0.08219064772129059,0.0596848800778389) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280786272891422 (3.3307909965515137,0.035504378378391266) (6.982225750107318e-05,-3.0595376301789656e-05) 0.15635640919208527 0.35764088938443117 (3.8532211780548096,0.008744966238737106) (0.00020696035062428564,-0.00012021692236885428) 0.14137858152389526 -0.10781594814733148 (3.4209868907928467,1.8667939901351929) (0.0002358092606300488,0.0001288778439629823) 0.1963244080543518 0.027546156738505467 (4.09337043762207,2.180340528488159) (-0.00027828357997350395,-5.400501686381176e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
11.25 (2.1021745204925537,1.5968108177185059) (0.08736950159072876,0.06344565749168396) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.628078760356343 (3.3308041095733643,0.035498641431331635) (5.241770122665912e-05,-2.2947355319047347e-05) 0.15635640919208527 0.35764088938443117 (3.853260040283203,0.008722425438463688) (0.00015522351895924658,-9.016314288601279e-05) 0.14137858152389526 -0.10781594814733148 (3.4210312366485596,1.8668181896209717) (0.00017691987159196287,9.669133578427136e-05) 0.1963244080543518 0.027546156738505467 (4.093318462371826,2.180330514907837) (-0.0002086653548758477,-4.04151578550227e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
11.5 (2.1247363090515137,1.6131947040557861) (0.09024729579687119,0.06553568691015244) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280805276396004 (3.3308138847351074,0.03549433872103691) (3.930467937607318e-05,-1.7210408259416e-05) 0.15635640919208527 0.35764088938443117 (3.8532891273498535,0.008705520071089268) (0.00011636129056569189,-6.762234261259437e-05) 0.14137858152389526 -0.10781594814733148 (3.4210643768310547,1.8668363094329834) (0.00013257401587907225,7.249185000546277e-05) 0.1963244080543518 0.027546156738505467 (4.0932793617248535,2.1803228855133057) (-0.00015669010463170707,-3.0401579351746477e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
11.75 (2.147393226623535,1.6296476125717163) (0.09062724560499191,0.06581172347068787) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6280814307432572 (3.3308212757110596,0.03549111261963844) (2.9529515813919716e-05,-1.2907697964692488e-05) 0.15635640919208527 0.35764088938443117 (3.853311061859131,0.008692841045558453) (8.727422391530126e-05,-5.07169752381742e-05) 0.14137858152389526 -0.10781594814733148 (3.4210891723632812,1.8668498992919922) (9.943383338395506e-05,5.4372037993744016e-05) 0.1963244080543518 0.027546156738505467 (4.093249797821045,2.1803171634674072) (-0.00011758945765905082,-2.2772184820496477e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
12.0 (2.169083595275879,1.6470333337783813) (0.08676177263259888,0.0695427656173706) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6756773975048824 (3.330826759338379,0.03548869118094444) (2.2138539861771278e-05,-9.68159656622447e-06) 0.15635640919208527 0.35764088938443117 (3.853327512741089,0.008683331310749054) (6.533971463795751e-05,-3.8037949707359076e-05) 0.14137858152389526 -0.10781594814733148 (3.421107769012451,1.8668601512908936) (7.463830115739256e-05,4.078217898495495e-05) 0.1963244080543518 0.027546156738505467 (4.093227863311768,2.1803128719329834) (-8.802555385045707e-05,-1.7050138922058977e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
12.25 (2.190645694732666,1.6642740964889526) (0.08624817430973053,0.06896314024925232) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6744906273700734 (3.3308308124542236,0.03548687696456909) (1.665491254243534e-05,-7.260157417476876e-06) 0.15635640919208527 0.35764088938443117 (3.853339672088623,0.008676199242472649) (4.88888326799497e-05,-2.8528214897960424e-05) 0.14137858152389526 -0.10781594814733148 (3.421121835708618,1.8668677806854248) (5.604164834949188e-05,3.0530180083587766e-05) 0.1963244080543518 0.027546156738505467 (4.0932111740112305,2.180309772491455) (-6.609104457311332e-05,-1.275860358873615e-05) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
12.5 (2.212161064147949,1.681460976600647) (0.08606165647506714,0.06874749064445496) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6740190170051348 (3.330833911895752,0.03548551723361015) (1.2601796697708778e-05,-5.4459410421259236e-06) 0.15635640919208527 0.35764088938443117 (3.853348970413208,0.008670850656926632) (3.672948514577001e-05,-2.139614662155509e-05) 0.14137858152389526 -0.10781594814733148 (3.4211323261260986,1.8668735027313232) (4.197495218249969e-05,2.2900785552337766e-05) 0.1963244080543518 0.027546156738505467 (4.093198776245117,2.180307388305664) (-4.9401747673982754e-05,-9.659162060415838e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
12.75 (2.233637809753418,1.6986080408096313) (0.08590707927942276,0.06858804821968079) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6737634057381815 (3.330836296081543,0.035484496504068375) (9.502355169388466e-06,-4.086210083187325e-06) 0.15635640919208527 0.35764088938443117 (3.853355884552002,0.008666838519275188) (2.7431160560809076e-05,-1.6047561075538397e-05) 0.14137858152389526 -0.10781594814733148 (3.421140193939209,1.866877794265747) (3.148453470203094e-05,1.7178739653900266e-05) 0.1963244080543518 0.027546156738505467 (4.093189716339111,2.1803054809570312) (-3.7003981560701504e-05,-7.274976724147564e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
13.0 (2.255077838897705,1.7157204151153564) (0.085759736597538,0.06844952702522278) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6736146761496274 (3.3308379650115967,0.03548372909426689) (7.118169378372841e-06,-3.065480768782436e-06) 0.15635640919208527 0.35764088938443117 (3.853361129760742,0.008663829416036606) (2.0517021766863763e-05,-1.2035423424094915e-05) 0.14137858152389526 -0.10781594814733148 (3.4211461544036865,1.866881012916565) (2.3616723410668783e-05,1.288720523007214e-05) 0.1963244080543518 0.027546156738505467 (4.093182563781738,2.1803040504455566) (-2.7944073735852726e-05,-5.367628091335064e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
13.25 (2.2764892578125,1.7328076362609863) (0.08564534038305283,0.06834873557090759) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6735470177108579 (3.3308393955230713,0.03548315539956093) (5.449239324661903e-06,-2.2980709672992816e-06) 0.15635640919208527 0.35764088938443117 (3.853364944458008,0.008661572821438313) (1.527181302662939e-05,-9.026320185512304e-06) 0.14137858152389526 -0.10781594814733148 (3.4211506843566895,1.866883397102356) (1.765625893312972e-05,9.668554412201047e-06) 0.1963244080543518 0.027546156738505467 (4.093177318572998,2.1803030967712402) (-2.079151636280585e-05,-3.937116616725689e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
13.5 (2.297879695892334,1.749878168106079) (0.08556194603443146,0.06828218698501587) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6735470445546907 (3.3308403491973877,0.03548272326588631) (4.018727850052528e-06,-1.7243761476493091e-06) 0.15635640919208527 0.35764088938443117 (3.853367805480957,0.008659880608320236) (1.1457114851509687e-05,-6.769725587219e-06) 0.14137858152389526 -0.10781594814733148 (3.421154022216797,1.8668851852416992) (1.3126305930200033e-05,7.284368621185422e-06) 0.1963244080543518 0.027546156738505467 (4.093173503875732,2.180302381515503) (-1.5546307622571476e-05,-2.983442300319439e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
13.75 (2.3192548751831055,1.7669377326965332) (0.08550113439559937,0.06823813915252686) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6735790721500288 (3.330841064453125,0.03548239916563034) (3.0650537610199535e-06,-1.292242473027727e-06) 0.15635640919208527 0.35764088938443117 (3.853369951248169,0.008658611215651035) (8.596091902290937e-06,-5.077512469142675e-06) 0.14137858152389526 -0.10781594814733148 (3.421156406402588,1.8668866157531738) (9.788445822778158e-06,5.496229277923703e-06) 0.1963244080543518 0.027546156738505467 (4.093170642852783,2.1803019046783447) (-1.1731610356946476e-05,-2.2681865630147513e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
14.0 (2.340615749359131,1.7839869260787964) (0.08544361591339111,0.06819659471511841) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6736102497956031 (3.330841541290283,0.03548215702176094) (2.349798023715266e-06,-9.681422170615406e-07) 0.15635640919208527 0.35764088938443117 (3.8533716201782227,0.008657659403979778) (6.450324690376874e-06,-3.8081200273154536e-06) 0.14137858152389526 -0.10781594814733148 (3.4211583137512207,1.8668876886367798) (7.404259577015182e-06,4.065717803314328e-06) 0.1963244080543518 0.027546156738505467 (4.093168258666992,2.1803014278411865) (-8.870587407727726e-06,-1.7913492911247886e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
14.25 (2.3619577884674072,1.8010210990905762) (0.08536840975284576,0.06813646107912064) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6736094767150465 (3.3308420181274414,0.035481974482536316) (1.8729607518253033e-06,-7.259983476615162e-07) 0.15635640919208527 0.35764088938443117 (3.853372812271118,0.008656945079565048) (4.7813946366659366e-06,-2.8563083560584346e-06) 0.14137858152389526 -0.10781594814733148 (3.4211597442626953,1.866888403892517) (5.496910944202682e-06,2.992834197357297e-06) 0.1963244080543518 0.027546156738505467 (4.093166828155518,2.1803011894226074) (-6.486402071459452e-06,-1.3145121329216636e-06) 0.16506817936897278 -0.36652612026507486 (2.007846911196081,1.8001999580859622) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
14.5 (2.3832738399505615,1.8180327415466309) (0.08526378870010376,0.06804637610912323) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6735623185569287 (3.3308422565460205,0.03548184037208557) (1.3961235936221783e-06,-5.434591230368824e-07) 0.15635640919208527 0.35764088938443117 (3.8533737659454346,0.008656409569084644) (3.589301741158124e-06,-2.1419839413283626e-06) 0.14137858152389526 -0.10781594814733148 (3.4211606979370117,1.8668889999389648) (4.066399469593307e-06,2.2775784600526094e-06) 0.1963244080543518 0.027546156738505467 (4.093165397644043,2.1803009510040283) (-5.055890596850077e-06,-1.076093553820101e-06) 0.16506817936897278 -0.36652612026507486 (2.0077734956788147,1.8163229085984316) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
14.75 (2.4046239852905273,1.8350777626037598) (0.08540032804012299,0.06817995756864548) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6737383660388598 (3.3308424949645996,0.03548173978924751) (1.1577050145206158e-06,-4.0934867229225347e-07) 0.15635640919208527 0.35764088938443117 (3.853374481201172,0.008656008169054985) (2.635627424751874e-06,-1.6064734609244624e-06) 0.14137858152389526 -0.10781594814733148 (3.421161413192749,1.866889476776123) (3.112725153187057e-06,1.6815318986118655e-06) 0.1963244080543518 0.027546156738505467 (4.093164443969727,2.180300712585449) (-3.6253791222407017e-06,-8.376750315619574e-07) 0.16506817936897278 -0.36652612026507486 (2.007696325810273,1.8332703608248155) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
15.0 (2.4260079860687256,1.852156639099121) (0.08553562313318253,0.06831562519073486) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6739357863460462 (3.3308427333831787,0.035481661558151245) (9.192864922624722e-07,-3.087658342337818e-07) 0.15635640919208527 0.35764088938443117 (3.85337495803833,0.008655707351863384) (1.9203716874471866e-06,-1.2050734312651912e-06) 0.14137858152389526 -0.10781594814733148 (3.4211621284484863,1.8668898344039917) (2.3974694158823695e-06,1.2046947404087405e-06) 0.1963244080543518 0.027546156738505467 (4.093163967132568,2.18030047416687) (-2.6717048058344517e-06,-5.992564524603949e-07) 0.16506817936897278 -0.36652612026507486 (2.0076190024868494,1.8502515136306497) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
15.25 (2.4473557472229004,1.8692007064819336) (0.08539064973592758,0.06817632913589478) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6737676774297322 (3.330842971801758,0.03548160567879677) (6.808679131609097e-07,-2.305347521769363e-07) 0.15635640919208527 0.35764088938443117 (3.8533754348754883,0.008655481040477753) (1.4435346429308993e-06,-9.042561828209728e-07) 0.14137858152389526 -0.10781594814733148 (3.4211626052856445,1.8668900728225708) (1.6822137922645197e-06,8.470669285998156e-07) 0.1963244080543518 0.027546156738505467 (4.09316349029541,2.18030047416687) (-2.1948676476313267e-06,-3.6083787335883244e-07) 0.16506817936897278 -0.36652612026507486 (2.007541836911321,1.8671980230586054) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
15.5 (2.4686644077301025,1.8862091302871704) (0.0852346420288086,0.06803368777036667) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6736380922004497 (3.330842971801758,0.03548156097531319) (4.4244930563763774e-07,-1.746553977000076e-07) 0.15635640919208527 0.35764088938443117 (3.8533756732940674,0.008655311539769173) (9.666974847277743e-07,-6.779447971894115e-07) 0.14137858152389526 -0.10781594814733148 (3.4211628437042236,1.8668901920318604) (1.2053766340613947e-06,6.086483494982531e-07) 0.1963244080543518 0.027546156738505467 (4.093163013458252,2.18030047416687) (-1.7180304894282017e-06,-3.6083787335883244e-07) 0.16506817936897278 -0.36652612026507486 (2.007464832824008,1.884109067688295) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
15.75 (2.489940643310547,1.9031885862350464) (0.08510522544384003,0.06791767477989197) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6735468354107405 (3.330842971801758,0.0354815274477005) (4.4244930563763774e-07,-1.2995191411846463e-07) 0.15635640919208527 0.35764088938443117 (3.8533759117126465,0.008655184879899025) (7.282789056262118e-07,-5.084440886093944e-07) 0.14137858152389526 -0.10781594814733148 (3.4211630821228027,1.86689031124115) (9.669580549598322e-07,4.894390599474718e-07) 0.1963244080543518 0.027546156738505467 (4.093162536621094,2.18030047416687) (-1.2411933312250767e-06,-3.6083787335883244e-07) 0.16506817936897278 -0.36652612026507486 (2.0073879599662017,1.900991292704399) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
16.0 (2.511176109313965,1.9201314449310303) (0.08494215458631516,0.06777143478393555) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6734310134031928 (3.330842971801758,0.03548150509595871) (4.4244930563763774e-07,-9.642429432688004e-08) 0.15635640919208527 0.35764088938443117 (3.8533761501312256,0.008655089884996414) (4.898603265246493e-07,-3.817842184616893e-07) 0.14137858152389526 -0.10781594814733148 (3.421163320541382,1.8668904304504395) (7.285394758582697e-07,3.7022974197498115e-07) 0.1963244080543518 0.027546156738505467 (4.093162536621094,2.18030047416687) (-7.643561161785328e-07,-3.6083787335883244e-07) 0.16506817936897278 -0.36652612026507486 (2.007311252904454,1.9178371068669746) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
16.25 (2.5323715209960938,1.9370380640029907) (0.08478155732154846,0.06762658804655075) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6733105445393558 (3.330842971801758,0.03548148646950722) (4.4244930563763774e-07,-7.407255253610856e-08) 0.15635640919208527 0.35764088938443117 (3.8533761501312256,0.008655018173158169) (2.514417474230868e-07,-2.867893158509105e-07) 0.14137858152389526 -0.10781594814733148 (3.421163558959961,1.866890549659729) (4.901208967567072e-07,2.510204524241999e-07) 0.1963244080543518 0.027546156738505467 (4.093162536621094,2.18030047416687) (-7.643561161785328e-07,-3.6083787335883244e-07) 0.16506817936897278 -0.36652612026507486 (2.0072347100251773,1.9346468645396406) (0,0) 1e-07 0.1458798393392846 (2.0021420776889833,0.30221852059434323) (0,0) 1e-07 0.1458798393392846 
